,0
131,The worst experience have ever had airline were scheduled leave from Orlando Florida took hours get through security When finally boarded the plane were told needed have our bags checked due more overhead room Our final destination was Chicago agreed daughters epilepsy medication all our clothes and toiletries diapers etc were our bags sat the plane for hour before the captain mad announcement that something was wrong with the plane Another hour went and decided get off the flight were given problems for trying leave Literally argued our way off the plane Within minutes after got off the plane the test the people aboard were evacuated were given different flights which caused wait the airport with children for hours had hour layover Miami Our flight was then pushed back another hour there boarded the flight and again something went wrong with the flight waited hot plane that had air conditioning for two hours before they evacuated again this point was midnight finally boarded the flight Chicago around
132,Flight AAL from Japan Chicago March had gone the Philippines for mission trip with some family and friends had been questioned flight attendant and colleague why switched seats with another passenger explicitly told them that asked him could change seats and obliged were not given any the names the flight attendants who gave attitudes over their rules instead serving felt judged over what looked like stolen seat While being served meals noticed that the first flight attendant took off her badge wouldn able see her name This unacceptable practice any flight attendant personally would want know her name and written apology Given that the flight agents were okay with being there
133,American different than other airlines Basic service dated and unexciting first class range quality the cabin last flight they ran out the chicken entree first class and the flight attendant told should have ordered advance The seat barely reclined But was better than coach
134,But what really awful their availability seats bought with mileage points was searching for flight Los Angeles and there was exactly one saver seat available for entire year ready launch class action suit They make billions their frequent flyer program but there way redeem for real flights unless you use the anytime awards that are two three times many miles the savers
135,American Airlines terrible Don book with them matter how cheap the fare They cancel and delay flights whim had family trip scheduled Hawaii from Cleveland They denied our first class seats with refund they cancelled flights hours before they were take off was nightmare And they have absolutely remorse and they offer zero compensation Fly Delta costs little more but worth
136,Very poor customer service Flight was canceled from Washington Birmingham Our flight was They offered hotel room for They handed handwritten list motels could call and make reservation long was less than spent for tickets place called had room for less than are family had fly Huntsville and then rent car drive the remainder the way They offered nothing They refused pay for the rental are which was Their attitude about the cancelation was well bad not our problem They also told that our luggage would not put the flight Huntsville had talk the manager order for that happen Poor customer service all the way around
137,Flight from Milwaukee Chicago was showing delayed minutes upon our arrival airport problem had hour layover for connecting flight However time went and the departure time kept getting extended for reason given were instructed that the flight will still occur When the flight showed departure time almost hours past its original time and keep mind the flight only minute flight from Milwaukee Chicago went find out what was going Fortunately pilot was there and told that the plane had mechanical issues and then another was sent for and returned for mechanical issues and that they were looking for another plane They were talking about getting bus send passengers Chicago Unfortunately that would longer option would take least hours drive park and get gate which means will missing our connecting flight Why didn someone make that decision sooner least let know could have driven Chicago got own transportation COMMUNICATION When gate agent finally arrived she said she could change our flight get
138,Booked travel Edinburgh JFK with wife and young daughter Despite website saying flight entertainment and wifi the entertainment consisted old fashioned monitors the ceiling and wifi was like traveling years ago This was particularly disappointing for transatlantic flight Roof monitors and options does not make travelling with children easy addition duck tape was holding the havoc duct above our heads interesting that still fly vintage
139,Where begin university booked people flight from JFK Santiago Chile with layover Miami When arrived the airport luckily with plenty time the kiosks could not process our confirmation code and many got error codes Customer service slowly and painfully manually checked all and took our luggage
140,American pretty good flown them twice from Miami JFK and from West Virginia Charolette LGA Customer service was great especially the West virginia flight Charleston Yeager waiting for the dash arrive and got delayed for least hours because the propeller torque wasn working Upon asking the crew They had deplane the flight and switch the planes and try make the time Still the counter lady gave free food and drink for the airport and got new connection with baggage with issues ALL Mechanics can fail but wound having nice dinner Charolette and got brand new LGA All all good airline would recommend
141,Great flight time very safe all around great flying experience good can expected
142,had great experience They easily rebooked connecting flight which would have missed due this massive snow storm
143,This airline was the absolute worst
144,When and daughter arrived the airport was and mins before boarding after being turned away from the counter check employees and sent keyos The computer gave error and directed back the counter The employee then told missed checkin and that she was putting our flight under missed flights She said she would find new flight she did but stand tickets mom and daughter mths are forced sleep overnight the airport until the next night called customer support and guess what was met with crappie attitudes and help This flight experience was the absolute worst ever experienced
145,booked redeye with which canceled hours prior flight supposedly due weather The soonest flight they could get wasn for another hours noticed some other redeye were still taking off the same time that told couldn been because the weather called and asked there was anything they could get another redeye They were not helpful all nor did they offer any sort vouchers for the canceled flight
146,EDITORS COMMENT Remember weather can the other end though mid flight which why other aircraft were effected they weren going that city
147,Had flights with them Oct Nov Never again Not one flight was time and they even ran out food Business Class
148,Late bags delayed arrived wrong gate Orlando New York Staff and pilot were nice and got nice pair wings
149,Very customer unfriendly Any problem you have they constantly refer you somewhere else another line phone number call and ultimately telling you online even when you are there person with agent crazy travels with American have had problem
150,The entire process with American Airlines has been fiasco from changing flights without notification seats missed connection due American tardiness not allowing dear choices return flights
151,Abominable customer service
152,love this Airline
153,American used the best carrier the but longer The CEO other management types have been engaged race the bottom with United awful and Delta terrible million miler but longer have any loyalty this carrier now prefer use Emirates other foreign carriers when travelling internationally Too bad used love this airline
154,They are rude and will misinform you everything None the employees are the same page wonder their flights are cheap Only flew with them because they fit schedule but never again Wish could rate the service less than
155,booked our flight from Switzerland the have year advance that have year till the flight they changed our flight schedule times That forced leave the Hotel Vegas
156,The planes itself were really old style think this was the only trans atlantic flight the last years without personal screen watch movies play some games national flight from philadelphia vegas didn have movies all
157,Staff was very unfriendly
158,Safety very import retired UAL Flight attendant were landing and was the window exit row was never checked for baggage the row front the exits They were blocked decided give note the first cabin then decided was not job anymore realize could have stepped and taken over exit row but really should have been don those working the trip only rating the safety part the flight
159,Delay after delay Worst airline experience ever Prior this trip had issue another flight with ticketing Was given number for customer service Called that number and was told they just took messages and gave email address for customer service Emailed Three times response Conclusion that there customer service
160,The main reason that writing this review that husband and were treated with such kindness and respect departure Dallas Our seats were way apart for long flight and the last minute kind gentleman came rescue making flight enjoyable were unable swap them ourselves for some reason Thanks its the small things sometimes
161,flew with family Jan from Miami Vail flight for skiing trip departed time and about hours into hour flight The pilot announced that had made decision not land Vail winter snow storm NOT PROBLEM with that decision Our plane was completely full people heading for ski trip The INCREDIBLE decision head back MIami was CRAZY chance deviate Dallas even Denver that was open The entire plan was EXTREMELLY upset the poor choice and way communication with regards for the huge investment our vacation Upon arrival back Miami the entire plane about several people weren assisted any way After waiting almost hour they advised head gate rebooking center NIGHTMARE several hours that did not help ended flight out Miami Charllotte that evening head into Denver the next morning lost that night stay our hotel Vail our lift ticket the following day and ski rental gave ZERO vouchers ZERO with HUGE additional costs family had pay for hotel charlotte and dinner airport Never Fly
162,EDITORS COMMENT seems crazy fly back airport that far from your destination but this decision generally has with crew and aircraft bases you went another airport there may not have been enough spare crew therefore your flight would delayed more than what was due mandatory rest periods Any delay due weather means the airline not liable anything for the passenger unless they choose This the case with all airlines and unfortunately you would probably have found the same inconvenience and out pocket expenses with all the airlines the know this doesn change the fact that you lost precious holiday time which beyond frustrating but hopefully helps answer why things happened the way they did
163,use American Airlines for lot trips Every time have with the utmost respect The staff was beyond friendly They gave son daughter and even daughter teddy bear little American Airlines badge The food was good and the seat could been improved little more Overall have had great experiences with American Airlines
164,Palm Springs Greenville and return
165,Called advance reserve carry pet fee have two small dogs Phone rep said could put both tiny dogs one soft carrier When were about board the gate staff yanked out and required both dogs separate containers They bumped the next flight Poor experience and will never fly with American Airlines again
166,Very poor baggage service
167,took Denver flight Miami connection Madrid Spain can think anything this airline did right from the start There was line the check area The flight was about hours late and the monito had time with gate assigned until the last minute Once finally landed took the minutes park the gate because well wasn clear why asked the crew would make our next flight landed parked and they said you have plenty time get our gate after good sprint but they had given away our tickets for the flight that supposed leave And told was because were late They were rude rude rude are now plane London and not clear that have seats get Madrid many years travel have never seen such terrible airline service NOT recommend taking this airline anywhere
168,will NEVER fly American Airlines again Currently sleeping the airport
169,Staff check was extremely ineffective and inefficient
170,Worst experience have ever had flying dealt with delays before but the incompetence the ground crew fueling beyond belief hour delay because the truck only had enough for fuel Then another hour before the fueling truck arrived finishing fueling the plane Afterwards sat for additional hours because icing apparatus was available watch patiently the aircraft front was being iced sat the flight crew stated our time limit had been reached and were obligated return the airport Airline regulations call for returning back the gate there are extended delays
171,Once back the airport the customer service line was larger than one you expect amusement park Contacting customer service via telephone was better Receive conflicting information from multiple agents which resolution reasonable accommodations given
172,end story finally departed hours later anticipated missed our cruise departure Maybe lucky and find flight via different airline meet our ship first port
173,Again WORST EXPERIENCE EVER
174,purchased roundtrip ticket daughter could see her brother graduate from college Never received receipt only receipt for upgraded seats which did not give flight information When checking the flight found that they booked her for the day after she needed here Called change and was advised there would charge for changing reservation when advised them was only for one way ticket the day needed and just charge that they said they couldn and ahead and purchase the one way myself which did When she got the airport for her return trip the cancelled her return ticket and sold someone else They refused assist her all telling her too bad and that had purchase another one way ticket for almost Customer service and customer relations refused anything basically had pay for tickets get her here because their mistakes and direction contacted the executive management team for refund the tickets and they refused This company hard keep take additional from thier customer hope they can still maintain their planes
175,They canceled our direct flight the last hour and turned into hour nightmare that involved dumping half the plane
176,been flying for all and flown Southwest and United due direct flights texas from Denver never been harrassed more over the last flights about carry ever isn large bag flits your overhead for all flights been with smaller than other bags that got after but the gate agents feel the need pick their members travel every week for work and can promise will choosing another airline and credit csrd for American Airlines needs learn treat their Frequent Flyers with more RESPECT They are the worst
177,been flying for all and also flown Southwest and United due direct flights texas from Denver never been harrassed more over the last flights about carry ever isn large bag flits your overhead for all flights been with smaller than other bags that got after but the gate agents feel the need pick their members travel every week for work and can promise will choosing another airline and credit card for American Airlines needs learn treat their Frequent Flyers with more RESPECT They are the worst
178,Don tell people that you can take carry then force them check their bags because there not enough space Never flying with this airline again have flown multiple times and never had any problems flying until this airline actually checked reviews and they all which makes sense have medicine our bag and are told since group have choice have have checked would have made difference would have been told advance that couldn have carry First and last time flying this airline What rip off
179,American Airlines absolutely the worst airline company that have ever traveled with After talking with manager about horrendous experience was GUARANTEED that would receive full refund because the way that American Airlines handled experience When tried collect refund was denied the refund and every rep manager that spoke with was extremely rude have explained that was given confirmation number that guarantees refund and have still been denied the refund that was guaranteed even requested that they listen the recorded call where was GUARANTEED refund and still was treated rudely and denied The only reason used this airline was because got American Airlines credit card few years ago for emergencies and needed visit husband the Navy unexpectedly will never again use this airline for any reason have traveled several airlines and horrified with this company Even husband traveled this airline for the Navy and was extremely displeased have never heard anything good from this airline Not only are they more expensive average but their service outstandingly bad
180,Saturday after Thanksgiving grandmother dies get the airport and the kiosk was out paper for printing the boarding passes and there was customer service representative assist Even though were checked could not get through TSA because could not get the boarding passes printed result missed the flight Rebooked for only passengers They confirmed and charged for three Refused refund the third ticket that NEVER asked for and they charged for anyway Charged for the UNWANTED ticket AND CHARGED REBOOKING FEE Their customer service trying sort out the mess was illogical and appeared lack all human empathy well the ability listen
181,will never fly with American Airlines again and will share experience with many possible help them avoid similar travesty
182,Took round trip flight and each flight has been delayed over hour They have poor communication with the aircrafts and have idea when they will arrive
183,Flight was canceled and American Airlines Made effort compensate nearly full delay Unacceptle Never flying through this airline recommending them
184,have never had such horrible experience with airline start were forced change our departure flight significantly less desirable itinerary from stop adding hours our travel time Turns out that particular flight would end being cancelled after mechanical difficulty flight Don get wrong thankful for our safety But after turning around and returning the gate stand line for hours One gets little testy After standing said line were given information about when would another flight and another hour later were shuttled hotel where still received info had call the airline myself from foreign county find out how was going make home After being given the wrong information and seeing that our online itinerary had going the wrong final destination had call again were good spirits was most the flight despite our trouble However after several hours organization communication and being left fend for ourselves how get home were livid experience first panic attack that evening top off check bag was ruined
185,will have say our experience over the last week with our travel from dtw Miami Barbados and returning flights have now made not want fly amaerican again From changing our flight Miami month before departure from approximate hour direct flight hours layover sitting the plane waiting unload ppl and put new ppl and not running time all Delays next day that caused leave hours after original depart time coming back Miami for last flight back home and have board min late and not having even left gate after another hour sitting plane many excuses even begin why had sit for long fly American Plan lot hurrying and waiting Worst flights have ever had know patience virtue but are all out them have more for American Airlines Worst money ever spent flights
186,You offer movies and music this flight but earphones
187,EDITORS COMMENT Great feedback that other passengers will appreciate
188,Flight our way Barbados was delayed hours Flight way home from Miami was delayed and hour and half for reason They rushed the plane could take off time only sit plane for another minutes And during that time they were just loading the plane Worst service ever
189,Where begin First Platinum member with miles and years flying Based the changes that have occurred the last year since Useless Air bought the whole AAdvantage program has lost its value fly regularly Honolulu and the paid upgrade option old longer offered Instead purchasing coach ticket and paying using miles and ticket upgrade business class guaranteed upgrade now offers you option first PURCHASE COACH ticket and the gods deign they might upgrade you later flyer with greater loyalty status does not bump you the interim Otherwise you are stuck coach for the ride What used good airline benefit has turned into flying nightmare there recourse cancel the ticket there upgrade available flight time Since book months advance this has lost its appeal
190,frequent flyer never been disappointed airline have been with American Historically spent total two nights sleeping airports and hours waiting airplanes due American lack competence Throw high prices economic bailout and allegations price fixing with other airlines basis for never flying with American again
191,high prices delays and sleeping airports your thing all means with American Ironically there nothing more American than American Airlines
192,Horrible This airline will not allow print your boarding pass without seat But then airline freezes the seats hours before the flight can get seat This forces the kiosk counter instead going straight security Somehow other airlines have the technology this app failed tell that the flight was delayed They oversold the flight and needed volunteers The compensation for volunteering your seat was horrible Thus family with young kids got kicked off the flight After the hour delay the woman announcing the boarding would not use the microphone which was reach one could hear her and she made everyone feel like they were the problem They made check our bags starting with zone three yet several overheads were empty anyone asked question voiced concern the attendants the gate were rude and obnoxious back The attendants called for supervisor help and then wasted time complaining her than just doing thei job Fix your staff and your pathetic company policies and systems have seen other airlines handle worse situations with professionalism Grade for
193,After flying Southwest for most flights used credit card points fly American Being used the minute bag check rule attempted check bag minutes prior the flight was turned away and told inside the ticketing booth The American Airlines staff outside was extremely rude and unhelpful was the ticketing booth attendant She told there was nothing she could and sent off their competitor Southwest then ended PAYING FOR WHOLE NEW FLIGHT with Southwest who was somehow able get bag their plane with only minutes notice Never flying again
194,September flew from Albuquerque Dallas and Dallas Paris and returned six weeks later Both flights from Albuquerque Dallas and revise were the worst felt like was sitting concert block The seats were uncomfortable and hard There design was wrong The plane general felt like should have been retired years ago was small the staff had troubles walking and down the isle The plane rattled and shook much felt like was being powered rubber bands
195,just completed world trip and flew different airlines American Airlines were far the worst flew from NYC Hawaii with change meals included either leg both more than hours When changed they could not confirm our seats until mins before the flight even though booked months advance Most staff were disinterested and dismissive One lady thought speaking louder would make understand better The staff members the departure gate told its policy overbook all flights won using them again
196,flight LAX Chicago was forced return gate due mechanical problem Fair enough Then wait five hours while five other flights take off Chicago for new plane come right from hangar finally gate agent complain that this taking too long and she should just release let take one the other flights Other passengers join ask that get rebooked Some guy blue shirt not part conversation loudly announces walking away from this conversation and then over his shoulder haughtily announced Don let THAT guy flight Turns out was some flight attendant who wanted impress the gate agent thought was joke but the gate person actually apologized and said she couldn let get the flight Didn matter much the plane hadn yet appeared and was tired playing this game Took the refund and happily skipped the non flight Still couldn believe some Flight Attendant with attitude other problems certainly stumbled away quickly could wield such regal power Who wants fly airline that has many problems top its lower echelon divas
197,Worst Airline Ever have flown all over this world with many different airlines and the worst Avoid them all costs Rude service Bad customer services that treat you like they paid you fly
198,didn fly American the customer service terrible didn get the chance booked American flight back May fly Dec was non stop flight Months later October get notification the flight booked was rescheduled and not non stop flight now flight with layover When call find out why and what options are get hung gladly paying the extra buck fly Delta Non Stop Other than Delta highly recommend JetBlue whenever possible Thanks for nothing American Airlines you almost ruined our family holiday trip
199,Worst experience ever day started boarding our plane which after sitting for about minutes realized there was mechanical issue Kept the plane for over hours which time they unboarded for new plane which also took some time Taxied runway which time pilot timed out and had turn around and went back gate boarded again and now they were unable find new crew Left sitting the airport for hours with restaurants vending machines available Treated like caged animals
200,flight and connection were both late and didn know until was already the airport was disappointed the lack vegan options but the flight attendants tried accommodating possible was very happy with first class service
201,Worst flight ever Route was and advertised with personal entertainment system choice movies etc Plane advertised Instead what got was old that still had its original interior screens the centre ceiling that you needed binoculars see The seats were very uncomfortable they were the same age the aircraft asked the steward the plane was joke said was last resort plane they had technical issues with the dream liner which since found out was untrue According customer service the flight was changed several weeks earlier and still being used date they said their words used this aircraft because was more profitable The fact that advertised with all the mod cons did not concern them all The magazine the seat pocket was all stuck together and some them were totally Spanish The movie was Disney movie and the people who made the outbound journey this flight said the movie was Spanish and could not changed The flight was unable carry any duty free items they didn have anywhere store customer service offered voucher for off our next flight
202,used Air customer Their service was below par But American sets new standard for terrible service There aspect their service that good However supposedly American supposed honor One World accounts including Air Berlin did not get credit flight Berlin and back flight that would have put their elite status months ago started trying solve this problem months ago and since then have been just shy But did finally get customer support person month and half ago who said that would hear back month wised since then and longer book American flights got smart and dropped American You should too believe they are dishonest and have proof that they not honor their commitments They have made nearly impossible claim mileage have almost hours into this process now and make livelihood computing NOT USE AMERICAN
203,Just overall crappy Poor customer service Always delayed Very slow service Incompetent employees
204,You should embarrassed with how poorly your airline being operated Flight delayed and the staff doesn let the passengers know seat wasn assigned until couple minutes before take off Your staff showed they care very little about the customers never fly American again and now understand why your airlines receives such poor reviews
205,Despite being the air once week rarely fly American Airlines have never had good pleasant experience American
206,This trip was truly noteworthy for their total lack professionalism customer service bad airplane and scary lack aircraft maintenance standards
207,Plane had multiple mechanical problems Have been this exact flight aircraft before about weeks earlier when popped engine the runway VERY old
208,Kept board aircraft over hours gate two different stops totally unnecessarily when they knew couldn take off due mechanical issues then rain
209,Left luggage the tarmac for hours the pouring rain Took hours make MIA
210,Customer service not what used frequent flyer with almost miles American alone can say evident that customer service and satisfaction not priority After recent flight delay hours due incompetence not weather you would think the airline would want fix their error and make sure their customers are satisfied What got was poor communication and miles for the inconvenience Really What can with that Its not enough for another bag peanuts next flight
211,must say had such bad experience that didn matter how many months passed had write this family and took trip Jamaica July this year and our flight was delayed hour because technically problems which very understanding But when was time return home from Jamaica out flight was delayed about hours which thought was ridiculous and that couldn the same problem twice will not fly American Airlines ever again rather pay higher price for better services
212,traveled many airlines Believe when say this sure this the worst airline them all
213,hrs late flight
214,Customer service nightmare Will everything power avoid flying again
215,not happy with this airline trying charge for printing out boarding passes flight was from Flagstaff BWI Went line hours prior they posted available seats When clicked them read Why would pay again for seat already paid Called airline they stated that case would have check the airport find this very dishonest charge people for trying obtain their boarding pass will definitely not saying anything nice about American friends for long time will not using them ever again This reminds the fraud going Wells Fargo where they were fined million dollars Someone needs regulate these people will ask the attorney general look into this
216,Staff Grand Junction were very helpful with flight change when the flight was canceled due storm flight Roanoke was canceled the first day and rescheduled the next The next day staff Roanoke were rude and unable help reschedule part flight that was delayed leaving arrive the same time connecting flight leaves Most stressful flights have ever had
217,Flight was time and comfortable Staff were not very polite helpful outward journey JFK had choice all with regard the meal everyone was served vegetable curry hate curry and received small snack before landed awful Did have choice our return journey pasta chicken rice but not very appetising and just yoghurt cake and muffin before landed Return flight was freezing for least hours complained but extra blankets were available Thought booked with British Airways and not American Airlines but had hoped that the staff service drinks food and snacks would have been the same standard but was disappointed the overall experience
218,will NOT flying with American Airlines the future and will not recommend others Shame should have been exciting flight with family three generations some taking their first long haul flight
219,The airline left mine and other passengers our luggage due according them smaller airplane that couldn carry enough Next day the would ship our luggage and not only didn arrive but another set people were missing their luggages
220,Round trip flight with four legs first was late second was canceled twice two different days third time fourth was late
221,The canceled flights was the worst started late sat the tarmac for one hour and returned the gate This was weather related and with that soon got inside the terminal they announced that the flight was canceled They also would not give our luggage including gate checked luggage which for was wheelchair Fortunately one the gate crew retrieved the wheelchair for Otherwise would have been even greater disaster When asked for our luggage they told would XNA when got there
222,When asked about lodging and meals were informed that they have obligation provide that for weather related issues When asked about future flights were told the first available seats were for the next day
223,about hour the plane left with our luggage for another itinerary much for weather related cancellation They canceled they could use that plane for more profitable flight That that quit being weather related issue and became business issue
224,guess you get what you pay for Flew LHR LAX return February reasonable cost Economy outbound Food and seat IFE very good enough for long trip Seat near back plane cold breeze persisted throughout trip even after turning off the overhead control Asked staff for assistance and they agreed help disappeared and never returned Sat coat for hours was still cold the next day Return trip nightmare All passengers gathered gate well over one hour before flight due leave mins before scheduled take off were all still standing there announcement information lots staff coming and going being social with each other Started board take off time still info and definitely apology Same freezing conditions but overnight when would nice have slept Paid for premium economy return difference ordinary economy absolute waste money and although this could have happened any other flight the person front fidgeted and kept reclining far the seat was face All all horrible experience Would not fly again from choice customer interface really really poor
225,LAS LAX Paid extra for bulkhead seats and Group boarding priority Arrived board find overhead lockers full from our seats overwing Walked halfway down the aircraft and placed small carry first available space partner had small soft sided carry stowed front the bulk head under first class seat Nothing mentioned during pre take off safety inspection Before landing flight attendant spotted the bag and went ballistic screaming that were violating FAA regulations said problem you can find space happy move She snatched the bag put first class and returned scold again telling you better not that again goes the overhead next time waited until everyone was off get her name She refused and when both tried calmly explain why were not impressed with her behavior she put both hands and shouted feel like you ganging and walked away This how American deal with complaints claim they feel threatened you and walk away have been flight attendant for years and have never spoken customer like that
226,Got London hours late causing miss connecting cruise out Southhampton Resulted nights hotels taxi and food expense Missed nights cruise and had fly Newcastle catch the ship customer response has been terrible
227,disappointed and family the way they treat passengers First time using and got the worst expiriance ever delays flight cancellation both ways and lost day our dream vacation because
228,And explanation why apology least water bottle because wore stuck the airport for hours
229,Shame them and will never use this company again
230,Over sold flight
231,Wost experiance with american airlines They cancled with notice found out was checking for flight had find last minute room and ride said room The next day arrive and flight delayed again instead putting the next available flight was placed later flight one was helpful and borderline rude The employees only show the gate the last minute load the planes now spending whole day airport with idea will have flight home since will now miss connection
232,really had bad experience with this airline Our plane was delayed for hours They just told the last minute that would delayed The flight attendants weren helpful though they saw placing bag there barely reached since not tall good thing there one passenger who helped
233,The rewards program deceptive and terrible value
234,Flights are more often late than time
235,Since June have flown from Charlotte New York never once had flight been time typical wait time hours however have sat the Tarmac for hours schedules for American seem optional and its whenever they feel like turning worst time keepers know
236,This was the worst night life Not only did wait and wait for flight that kept being delayed turned out canceled was there for hours and they didn even book hotel Very very rude workers and horrible service don recommend American airline waste money and time
237,flew Orlando the returning the Our flight from Heathrow Chicago was poor There were screens the seat backs advertised and could not use the flight entertainment app the flight was very boring
238,main concern was what happened our baggage the flight home from Charlotte Heathrow
239,When waiting board there was very heavy rain Our suitcases must have been left out the runway for long period time because when got home and emptied our cases everything was soaking wet and many items clothing were damaged colours running well gifts had bought All packaging the gift items were soaked and fell apart are really angry about this many items were ruined
240,What started our fiasco was our flight was delayed and our luggage did not make our final destination American Airlines representative told that there was not another flight until the same time the following day but that when arrived they would ship our luggage immediately that same night Not only did they not follow through with that with zero communication but representative knew where our stuff was Hours extreme frustration the phone and unplanned phone bill ended having drive back the aiport ourselves find out our luggage was sitting office the whole time for days All asked for after trip was the gas money for the unnecessary drive the airport phone bill that wasn going have didn have waste time with their ridiculous customer service reps and the ONLY bathing suit bought for having extra clothes for days Needless say unsatisfied with how poor this company customer service but obviously they could care less and will never fly with American Airlines
241,Poor attitude from the staff and you can guess what happened after that
242,July flew from Orlando Philadelphia the flight was delayed for hour missed our connecting flight Manchester after running degrees from find the gate closed sent customer service where took the lady assistant about hours print boarding tickets for and others printing tickets looking them for several minutes and putting them the trash bin were then told wait outside for mini van take Hotel The seater min van already half full took Quality Inn which was motel miles away with hanging onto the door and lady partner sitting the spare wheel this time were exceedingly hungry having missed our evening meal there was food available until the next day and the hotel did not have phone were unable cancel taxi waiting Manchester and had pay later were taken back the Airport for our flight the same overcrowded mini bus Having travelled the World since was and being delayed times for day This the first time have Complained This was first and last flight with American
243,Ive flown American Airlines many times without any issues since job requires fly atleast once weekly This morning however was interesting experience say the least approached open check kiosk the end the counter away from where there were any lines people waiting agents working was yelled the woman working the check counter the Fayetteville airport that needed get the long line people waiting check their bags did not have bag check nor did need the assistance agent any way simply needed print boarding pass When explained didnt need check any baggage she again repeated said you need get line all the years Ive been flying and the countless number flights Ive checked for Ive never seen them force every person get the same line regardless what they need Kiosks were installed expedite the check process for everyone but especially those traveling light She defeats the purpose planning ahead avoid long lines hope this issue addressed and she does not continue give your airline bad name with regards customer service
244,Days without bag and everytime call they only say its Miami but yet dont sent over SDQ airport where staying currently Worst travel experience ever
245,From GRU LAX with the new business Incredile high cost for poor service and behaviour Welcome champagne plastic cup quick meal service with giant tray like economy but bigger wine and alcoolic served without seeing the bottles Flat lie bed really hard and not confortable Headset given after take off and retired before landing fly lot with many companies this the worsted business class ever worldwide Dont spend your money for this class must take safe lot money and fly economy
246,husband and have been waiting years take trip Europe arrived the gate hours advance When went get the plane were told needed check our bags due the cabin already being full told the check lady Kathy Parks that would like get jewelry out bag She grabbed the bag from and refused let get jewelry from BAG this point husband was little peeved and went grab the bag from Parks hand where she then became angry and told husband and that were longer getting the plane husband and began crying and pleading with the Kathy Parks telling her that were sorry and that were flying Europe for the very first time and PLEASE let With stone cold face she replied and called security where were then escorted out the terminal Kathy Parks DFW Airport knows that she ruined our Anniversary trip and couldn care less top that are out all the money for airlines and the Oceania cruise were suppose That woman deserves fired and due American Airlines lack help will never fly them again EVER AGAIN
247,American Airlines has had standby for days have been the airport now for hours and they continue roll over from flight flight trying get seat They overbook all there flights stand bys have chance getting seat any flight They dont care about the customers and they are extremely rude They told could standby for week and this only option unless purchase another flight American Airlines joke
248,Will not fly with American Airlines ever again have hour layover ask there sooner flight that can move They say can for extra Seriously already paid for the same flight from Philadelphia Seattle but top that have pay dollars Yeah guess ill sitting the floor outside the actual airport because can afford that extra amount and cant check this early Thanks for showing real customer support American Airlines Southwest the way
249,Horrible service will never fly American again
250,The first time tried American Airlines the flight was horribly delayed children also were extremely mad too flight simply Philadelphia Amsterdam was delayed for entire day again for hours When finally got there get Memphis went from Philadelphia Washington Rather than Memphis weren even told still waiting right now
251,The planes were also very poor the same time Seats were torn everything was dirty paid too much for nothing The food was also extremely minimal
252,Honestly even Delta better Even kids acknowledge
253,hour delay from Chicago Orlando
254,Horrible horrible
255,Poor service Insulting agents
256,Never again
257,Most inconsiderate airline flight was delayed hrs Therefore missed connecting flight that departure even though the airport They refused wait reasonable min due there own delayed without explanation apology for there delayed Now having wait until tomorrow for the next flight departure Check service extremely inconsiderate unwilling take responsibility
258,American Airlines the single worst airlines the country Not only will NEVER fly this airlines again will make life mission discourage other the same have been traveling for solid hours which should have been hours Due American Airlines incompetence have missed connecting fight therefore have time review this airlines and apply for Delta credit card and sky miles American Airlines has sense time and doesn nothing fix their own errors Save yourself world trouble and don fly with American Airlines
259,Our flight was extremely uncomfortable leg room bad chairs and very rough landing Our outgoing flight had slightly better chairs still leg room and there were constant drops water falling throughout the flight from the unit mentioned this the flight attendant and all she said was order make stop she would need set degrees apology for the discomfort whatsoever were also delayed for minutes without explanation disgusted that this what got for the money spent
260,American airlines doesn care about its customers Simple that had two horrible experiences with them this weekend traveling best friend pre wedding weekend roughly mile drive but figured for convenience would fly would cost times much money driving but would much simpler Boy literally could not have been more wrong Friday was heading the airport only minutes from home checked into the flight emails boarding pass open check gate and everything and discover boarding pass flight hours later than the flight booked look itinerary find initial flight info look and discover the flight was canceled call trying make new arrangements because desperate get there had plans from the second landed basically until the moment left Sunday night When finally get ahold representative she speaks like have made some kind mistake fault you canceled flight You didn contact You didn give any options you just put new flight Not cool Finally after some discussion and weighing options have
261,frequent flier have been lot different planes flown with many different companies let just say that will NEVER under any circumstance fly with American Airlines again was the worst experience have ever had with flying encourage you strongly not waste your money this airline
262,Delayed flight for hours and after waiting for hours
263,Later canceled flight Had fly out next day hours later than planned top that had through the whole check process again waiting the worst morning rush for three hours total when had already done that the night before One hour for check though had BAG since had already checked the previous night And waited two more hours through tsa all over again Thanks american airlines You are the worst airline this industry
264,was returning RDU from Seattle international employee was servicing the aircraft and hit with the truck denting the aircraft wasn until hours later that took off wasn straight flight asked the attendents needed reschedule flight because when were reach Charlotte would late They told because wasn getting off the plane via ticket They said the flight plan would not change since the plane was scheduled continue Raleigh after Charlotte that would good When got Charlotte stayed seat like was told and then flight attendant said its after don have aircrew fly you Raleigh now They made get off the plane had wait line see what options were They said that was automatically rescheduled flight hours later They told that being different airport than seattles that they weren obligated cover hotel costs rental vehicles had sit the floor next terminal for the next hours waiting for the next plane take off the time got RDU had been awake over hrs and still had drive hour and half home
