,Date,Overall_Rating,Cabin,Review,Recommended,ValueForMoney,Seat_Space,Cust_Serv,Entertainment,Food_Drink
91,"July 19, 2016",10/10,Business,THE BEST AIRLINE I HAVE FLY WITH,Yes,5,5,5,4,4
92,"July 16, 2016",1/10,Economy,People should be aware that qatar airways doesn’t make any efforts to get their passengers to their final destination in case of a terrorist attack and refuses to give a compensation.,No,2,4,3,4,4
93,"July 11, 2016",10/10,Economy,"
On march 24 my flight from Bangkok via Doha to Brussels was cancelled because of the temporary closure of the Brussels airport.",Yes,5,5,5,3,3
94,"June 29, 2016",5/10,Economy,"
Last minute (1 hour before my flight in Bangkok) they decided to cancel the flight.",No,3,3,0,1,1
95,"June 28, 2016",1/10,Economy,Parents beware! Qatar Airways refused my daughter access to a paid flight to see her grandfather before he passes away.,No,1,1,1,0,0
96,"June 9, 2016",10/10,Economy,"
Their policy required her to present the credit card that paid for the flight. That card was in America with her mother. They told me they had a process for this, and that it would be complete 1-2 days after the flight left.",Yes,5,5,4,5,5
97,"June 3, 2016",1/10,Economy,"
If my daughter had been on her own, QA wouldn’t have let her on the flight. She doesn’t have $1300 in her bank account or a credit card to purchase tickets at the airport.",No,1,1,1,2,2
98,"June 2, 2016",1/10,Business,"
So they said they needed a copy of her mother’s passport and visa card that had paid for the ticket. That meant getting hold of someone also travelling for the same reason in a different time zone on a different continent.",No,0,0,0,0,0
99,"May 23, 2016",5/10,Economy,"
But they connected. Her mother provided the documentation. They said thank you and it would now take 2 days to process on their end. We were standing at check-in . . .",Yes,3,2,3,3,3
100,"May 17, 2016",7/10,Business,"Being regular business class passengers can categorize the organization into three entities, rate these areas scoring out of TEN based on my last flight from Edinburgh to Bahrain:",Yes,3,4,4,3,3
101,"May 4, 2016",4/10,Economy,"
On board service Cabin crew 8/9",No,3,4,2,3,3
102,"May 4, 2016",10/10,Economy,"
Ground staff service 5/6",Yes,4,5,5,5,5
103,"April 30, 2016",8/10,Business,"
Office staff 4/5",Yes,5,5,4,3,3
104,"April 30, 2016",1/10,Economy,"I have flown Qatar Airways a number of times and they used to be much better. Recent travels with them has seen an increase in customer service failures on the ground and intransigence by in-flight staff especially towards the economy passengers. What used to be an enjoyable journey experience with Qatar Airways is now just tolerable and by the look of things soon to become intolerable unless the airline management puts in some effort to get things back on track. For my future journeys between Europe, Middle East and Asia I will be looking at alternatives airlines.",No,1,1,2,3,3
105,"April 25, 2016",5/10,Economy,I found that the cabin crew is quite OK. and they tried to treat the passengers. Meals on all 4 flights I took was satisfying. The on flight entertainment is very limited. I could not find any on my taste. They are very reluctant in offering alcohol. I did 2 four and half and 2 seven hour flights but only in one they offered alcohol. You will find difficult to kill the time in long flights,No,3,3,4,1,1
106,"April 19, 2016",1/10,Economy,This review is more based on the agonizing suffering and hardship we endured due to lies told to us by the Qatar airways Doha customer care.,No,1,3,1,4,4
107,"April 18, 2016",6/10,Economy,"
While booking the flight from Copenhagen to Hyderabad we had a transit of 19 hours. Prior to booking and paying the ticket I called Qatar airways to confirm whether I was eligible for STPC. They confirmed the same and when asked for an email confirmation stated that it was written  in the system and sending email confirmation regarding the same was not a standard procedure.",Yes,4,3,4,2,2
108,"April 14, 2016",1/10,Economy,"
When we reached Doha, ofcourse the system failed to show the same and I was standing there with my wife, a 5 months old infant and a 3 years old minor. They refused to offer me the accomodation unless I paid for it myself. I spoke to the senior managers but no body could help me. They were out of touch with the reality and thought I was lying. I finally decided to call Dona customer care to get some help. To my surprise they blatantly denied this. I shared the date, day and time of my conversation with the Doha office (STPC confirmation during tkt bookingt). After 10 calls lasting for approx. 1 hour nobody helped us instead everbody promised to call us but nobody did.",No,1,3,1,3,3
109,"April 13, 2016",2/10,Economy,"I fly Qatar couple of times a year from UK, normally EDI, to Malaysia. Overall they are ok but not 5 star. The 787 is ok if less busy but the seats are very uncomfortable and narrow. I’m 152 cms and still struggle to get comfortable. The Doha- KUL leg is an Airbus. It can be very full but the last journey it was half empty so I was able to move seats and get plenty of space.  The cabin crew are polite but not overly attentive. Cabin service is not consistent when it comes to snacks and water.  Food is mediocre. Ine meal and then a sandwich. The ‘sandwich’ wrap is vile, best avoided. Very little alcohol is served. Milk, even for tea, is evaporated creamer not UHT or fresh. No pork of course.",No,2,3,1,3,3
110,"April 11, 2016",1/10,Economy,Tasteless and bland food through out the journey.,No,2,4,4,3,3
111,"April 9, 2016",10/10,Economy,"I traveled with Qatar on 1/4/2016 flight QR835 and QR009 Hanoi to Doha, Doha to LHR. The crew noticed I was extremely sick and when we briefly landed at Bangkok they called the medics to see to me. Throughout the flight the crew and managers couldn’t have been more thoughtful and caring for my needs, they ensured I was hydrated and continually checked on me. When the crew changed over, the manager ensured a handover was completed with the next crew to look after me on the next long flight to Doha. Both crews are a credit to Qatar airline and I hope they are recognised for their efforts, thank you! Best airline I have traveled with!",Yes,5,5,5,5,5
112,"April 3, 2016",5/10,Economy,"We travelled economy from Manchester to Cape Town and back.  This involved four flights in total.  The only comfortable one was the last lap back to Manchester on an older plane with so much more leg room.  The other three flights were cramped and when the person in front reclined their seat it was almost unbearable.  The food wasn’t good and was always chicken, even for breakfast. Drinks weren’t on offer very often and they were very stingy with wine.  I had to ask for water on several occasions and walked to where the staff were to get my own.  I would much rather fly with Emirates next time and will be giving Qatar a wide berth.",No,3,2,3,3,3
113,"April 1, 2016",1/10,Economy,"I was on a flight from Jakarta to Paris, transit in Doha: both confirmed and boarding cards issued.  On arrival at the gate in Doha for the Paris flight I was told it was “Fully booked” and I was bumped off it, the “compensation” being a stay in a hotel waiting for a flight the next day. TOTALLY UNACCEPTABLE! They obviously knew I was on their incoming flight and I had even paid for their “fast track” transit service as the transit time was only 75 minutes and Doha airport is a disorganised joke.  I am a Platinum (top status) loyalty card holder but will NEVER use this airline again.",No,1,3,1,3,3
114,"March 25, 2016",10/10,Economy,"Very nice staff, very good services, very comfy flight.",Yes,5,5,5,5,5
115,"March 19, 2016",9/10,Economy,"Exceptional check in staff at Heathrow, well trained and customer centric. Level of professionalism only otherwise seen on Emirates. If the entertainment was lifted a notch higher it would be near perfect. Food was good.",Yes,4,4,5,3,3
116,"March 8, 2016",8/10,Economy,"Good carrier, nice staff, decent food. They seem to try and make their guests as comfortable as possible… Even on a 16 hour flight, Qatar made flying economy bareable. Thanks to the flight crew for their friendly and helpful service.",Yes,4,3,5,4,4
117,"March 3, 2016",1/10,Premium Economy,"well my exprience of flying with Qatar Airways was really bad , they make us wait during transit more then 16 hour because their Flight was delayed , so did not provide us hotel , they offered us free meal voucher ,so duration of my flight from Sydney to Qatar was 14hours after that we had to wait for another 15 hours at the airport because Qatar airline flight was delayed",No,1,3,3,2,2
118,"February 26, 2016",10/10,Economy,"I travel an average of 6 times a year ever year and I can say hands down that this was my best airlines experience and although quite a long haul flight, my best flight ever. Not only because of a great experience overall but because amid an unfortunate circumstance we could rely on efficient, honest and reliable people.",Yes,5,4,5,5,5
119,"February 24, 2016",7/10,Economy,"My mother and I were traveling from Singapore to Paris for both leisure and Business. The trip felt short, and very smooth with a great choice of free movies. We had a very short and pleasant stopover in Doha where unfortunately my mum forgot her wallet (containing a very large sum of cash for the trip, all her credit cards, ID, drivers license, etc…) on a seat in the boarding room of Qatar international airport!",No,4,3,4,0,0
120,"February 17, 2016",8/10,Economy,7/10 Because the service was little bit slow. But all the other staff was great.,Yes,4,5,3,5,5
121,"February 16, 2016",1/10,Business,"One of the most indifferent, bored, lacksadasical crews that I’ve ever come across,  The crew seemed intent on ignoring passengers, including those that rang call buttons.  The cabin (business class) was about average in comfort and amenities.  The crew, however, made for a miserable flight.  Never again, Qatar!  Too many other good airlines.",No,1,3,1,3,3
122,"February 15, 2016",10/10,Economy,I have read reviews and they are either 10 stars or one. I assume one star is the least available and comments for one star are intolerant customers expecting business class without paying. I haven’t flown but wanted to test this site. if you read this i have never flown Qatar…,Yes,4,4,4,4,4
123,"February 10, 2016",9/10,Economy,"EDITORS COMMENT: People generally write in when they want to vent their frustrations or applaud an excellent experience, hence the ones and ten’s we think. Having personally flown Qatar numerous times we think they are fantastic in economy and Business class. Too often people expect a first class experience for a budget non flexible fare price. We try to balance these comments out with our own comments to educate people and get their expectations in line but if they fly and then read the reviews we can’t do much…",Yes,5,4,5,5,5
124,"February 3, 2016",8/10,Economy,First flight with QA and a return ticket Paris – Nairobi.,Yes,5,4,4,5,5
125,"February 2, 2016",10/10,Economy,"I love Qatar! I had a great experiance with them a few years ago so decided to fly with them again on a recent trip to Europe. Myself and a friend flew with them from Melbourne to Budapest then home again from Paris to Melbourne. We were in a packed cabin initially and one of the head phone pieces wasn’t working on our entertainment system so we asked to be moved. They were very apologetic, the flight attendants found other seats for us straight away in a more vacant area so we got loads more space and they kept the service coming for the whole flight. I also had a special meal which was easily moved to my new seat.",Yes,5,5,5,5,5
126,"January 31, 2016",9/10,Economy,"I’ve read a lot of negative reviews on this site about Qatar air, and I’d have to say I absolutely disagree. From online check-in, to the comfort of the flight, staff helpfullness, this airline was top notch. While flying from Philly to Phuket, we left late due to weather. With a short layover in Doha, we thought we might miss our connecting flight. They helped us all the way through immigration, and held the doors until the last second, allowing us to reach our destination. In-flight food was plentiful and very tasty. The entertainment system was great, except for the cheap headphones. The movie selection was great, with many US first run movies. If I had anything negative to say, it would be that you are awoken whenever food is being served, even though it is being served a lot. I am flying Qatar again in a few weeks, and I’m looing forward to another enjoyable experience.",Yes,5,4,5,5,5
127,"January 31, 2016",5/10,Business,"This is nota 5 star airline. They don’t keep their promises and do not offer a consitent product. Seat in A350 excellt, seat on A 330 not even flat and ancient.",No,3,3,5,4,4
128,"January 28, 2016",1/10,Economy,"
Website promises sleepware and “luxirious” amenity kit. In flight none was provided! And airline which lies to the customers is not trustworthy.",No,3,3,1,4,4
129,"January 27, 2016",1/10,Economy,The onl yairline I know which doesn’t give amenity kits in Biz,No,1,3,1,1,1
130,"January 25, 2016",2/10,Economy,"There are many other reasons, Pour customer service and hospitality by Checkin Counter Staffs at Perth Airport, Checkin Counter Staffs at Doha airport are horrible, even after requesting for several time Checkin Counter staff did not grant me neither my wife who’s pregnant an extra legroom seat even after holding a Silver Membership of Qatar Airways Privilege club member. We have to consider other airline and enrolling in other Airlines Membership.",No,2,2,1,4,4
131,"January 25, 2016",1/10,Economy,EDITORS COMMENT: Extra leg room seats are at the discretion of the airline and if passengers have already paid to request these seats there’s not much they can do about it.,No,2,1,4,4,4
132,"January 20, 2016",1/10,Economy,Just got back from a trip from Copenhagen-Bangkok. I must say that I’m not that satisfied with Qatar Airways. The reason why I chosse them was that I read that they got a lot of prizes as the Worlds Best Airline.,No,1,5,2,3,3
133,"January 13, 2016",5/10,Economy,"There was cheaper companies that I could choose, but I wanted to see if they live up to all those prizes.",No,3,3,4,4,4
134,"January 13, 2016",1/10,Economy,"The reason why I’m not satisfied is that they changed our seat reservations. From Doha to Bangkok me, my wife and our daughter was placed in different part of the plane even if I had our boarding cards with the seat numbers I’ve booked.",No,2,1,1,2,2
135,"January 12, 2016",10/10,First,Most amazing flying experience and its no wonder that this is a 5 star airline. The food was incredible along with the continous supply of snacks. Bathrooms were spacious and luxorious while in-flight service was nothing short of amazing. The plane was also very new.   Would recommend to everybody,Yes,5,5,5,4,4
136,"January 7, 2016",10/10,Business,Flew from Perth to Brussels return business class with Qatar and can only say they are the best airline I have flown with in a long time. I do a lot of flying and while Qatar is not my preferred airline it was probably one of the best experiences I have. My daughter flew with me but was in economy and I was worried about how cranky she would be when we reached Doha at around 6 in the morning but even she said this flight was excellent and reminded her of the service Qantas had years ago.,Yes,5,5,5,4,4
137,"January 6, 2016",10/10,Economy,"We had the misfortune to have our Qatar flight from Edinburgh to Doha, cancelled due to a technical problem with the plane on 30/12/2015. We would like to praise Qatar for the handling of the delay with over night accommodation and meals provided. We found the customer service second to none.",Yes,5,4,5,3,3
138,"January 5, 2016",10/10,Business,EDITORS COMMENT: Great to hear how well a cancellation was handled. These things do happen but it’s how the airline deals with it that matters. Thanks so much for sharing with us.,Yes,5,5,4,0,0
139,"January 2, 2016",1/10,Economy,"Second time I have flown with Qatar Airways, both times from Perth to the USA. I have found the experience excellent. Plane always on time and arrives on time, something of a rarity these days. Because I had a 9 hour lay-over in Doha the airline put me up in one of their hotels for about 6 hours so I could have a shower and a rest before boarding for Perth which was much appreciated. I can recommend this airline It appears that most of the complaints are from passengers travelling Economy class. I honestly cannot fault them and I have traveled Internationally with different airlines for the past 16 years.",No,1,1,1,1,1
140,"January 2, 2016",1/10,Economy,"Very poor experience with Qatar Airways.  They lost our luggage on our flight to Doha, and then they were overbooked and bumped us to a later flight, causing us to miss reservations in London.  Horrible experience, we would never use this airline again.",Yes,1,1,1,1,1
141,"January 2, 2016",1/10,Economy,"Worst airline ever inresponsible, over booked my flight and denied my boarding at the last minute when i went to the gate and kept me waiting until they finished onboarded everybody and told me my booking was denied and booked on the next flight 12 hours later. No upgrade no nothing they booked a hotel away from the airport with nothing to do!. Staffs are useless and told me off as apparently she was having a tough day!",No,1,1,1,1,1
142,"December 31, 2015",9/10,Economy,I had amazing experiences travelling with Qatar Airways. Flights were on time. Great food. Excellent cabin crews. Aircrafts were big and clean. I would rate Qatar as one of the best international career.,Yes,5,5,5,4,4
143,"December 29, 2015",10/10,Business,Travelled from Stockholm via Doha to Bangkok. The first leg was a Boeing 787 Dreamliner with a 1-2-1 seat arrangement while the second leg was a Boeing 777-300ER with seat arrangement 2-2-2. Both flights arrived on time. Bagage allowance was a generous 40kg plus 2 pieces of cabin bagage. The cabin crew were very good and one could not ask for more.,Yes,5,5,5,5,5
144,"December 23, 2015",5/10,Economy,"
N.B. I have been a frequent traveller for almost all of my working life although I am now retired at 73 years of age.",No,3,2,3,3,3
145,"December 23, 2015",1/10,Economy,"Abysmal. Utterly dreadful. Their plane was broken. Fair enough, it happens. But Qatar Airways spent 6 hours after the scheduled departure time telling us that we’d be boarding soon. I rescheduled work commitments on the basis of their promised departure time. They then cancelled, and made us queue for over 3 hours for baggage, coaches and hotel. We got to hotel room at about midnight and were told to be at reception for collection at 7:30 for flight at 10:30. But no-one there at 7:30; instead a message (from the hotel staff) that we’d be collected at 10:00. I rescheduled my work commitments again. But nothing at 10:00 – instead a message that they’d update us at 14:30. The Qatar Airways staff were dismissive, disinterested or just plain abusive throughout. It was all incredibly badly managed and we were treated like dirt and given no reliable information at any point. Shortly before midday, I got on a coach to Heathrow and then spent over 4 hours queuing (no information and no seats – just a tiled floor to sit on). I eventually managed to get a re-booking with another airline and eventually arrived 29.5 hours late. Qatar Airways",No,1,1,1,1,1
146,"December 19, 2015",2/10,Economy,"I wonder how did Qatar Airways achieved 5-star. My experience of Qatar from London- Doha, unfriendly staff (no smile at all) evening meal was served long after taking off. We expected some light snacks or at least a drink after taking off. Nothing. Emirates is much better than Qatar. At least they serve drink with either peanuts or some other savoury. There were no menu at Qatar. You get a quality meal with Emirates, their cheese collection (including biscuits) are simply the best!!",No,2,3,1,1,1
147,"December 3, 2015",3/10,Economy,The staff was quite stressed and seamd tired.,No,3,4,2,4,4
148,"December 2, 2015",10/10,Business," I am lacotose intollerant and had orderd special meals. When we got dinner my meal looked like everones. I asked the air hostess twice  if I had received the special meal, and she confirmed this. After an uncomfortable night (mostly on the toalett because of stomach trouble) the air hostess came and said she was sorry. She had served the wrong meal. Imagine if I had had a severe allergy. Two hours later they served a snack and I got the wrong meal again. I also felt that several of the staff did not enjoy eachothers company. And they discussed a few issues in front of the passengers.",Yes,5,5,5,5,5
149,"December 1, 2015",1/10,Economy,"Stockholm-Doha-Bangkok 30.11.2015. The first leg was a 787 Dreamliner that had Qatar’s new business class configuration 1-2-1 with good pricavy and ectremely good comfort. The in-flight system had an upgraded interface. The meals are served as a la carte on demand with good choises and very tasty. There a good selection of wines and champagne. Quatar do not have their own lounge in Stockholm and it is just o.k. The departure and arrival was on time. A drawback in Doha is that the new airport doesn’t have enought gates so if one is unlucky one will be ferried by bus to the terminal, ahich we were. The new airport terminal can have large distance when changing planes, but trolley service is offered. The business class lounge is hugh and airy. Duty free shopping is plentiful with reasonable prices. The second leg was a 777-300 with the older seat configuration, which in my mine suits me better; both are good though. The departure was 15 min later but the arrival was on time. The crew serving my side of the plane were one of the best I have every seen and I have been a frequent flyer for over 40 years. I have flown Qatar before and will do that again; the airline is recommended.",No,3,4,4,4,4
150,"November 28, 2015",1/10,Economy,"I am concerned to see from flightradar.com that Qatar Airways is still flying over Somalian airspace despite the fact that it is unsafe to do so. The FAA has banned US airlines from Somalian airspace and other agencies have also issued advisories. I travel frequently between Doha and South Africa, and I think a world-class airline like Qatar Airways should be more cautious, for the sake of its passengers and its reputation.",No,4,2,3,3,3
151,"November 24, 2015",10/10,Economy,This was the first time i ever flew Qatar airways!,Yes,4,4,4,5,5
152,"November 23, 2015",1/10,Economy,"
I flew Dubai – Doha – Barcelona and back",Yes,4,1,5,4,4
153,"November 21, 2015",1/10,Economy,"
I have to say it was absolutely amazing!!!",No,1,2,2,2,2
154,"November 16, 2015",3/10,Economy,"
The leg space, the food the service!",No,3,3,3,3,3
155,"November 13, 2015",1/10,Economy,"My name is Renjith, My worst experience from Doha to Trivandrum on QR 0506 on Nov 5. Frequent Flyer no. 502306815. Cabin Temperature is about 30 degrees, all passenger are sweating and uncomfortable. I complaint to air hostess for 3 times but no response.",No,2,3,2,4,4
156,"November 12, 2015",1/10,Economy,"
Horrible experience.",No,2,4,2,3,3
157,"November 12, 2015",9/10,Economy,"Once i came to the Gulf region , i was considering Qatar airways one of the best airways in the middle east which also can compete the foreign airways , but after what happened last time couple of days back , it is the worst .",Yes,4,4,4,5,5
158,"November 9, 2015",1/10,Economy,"
Its really shame on Qatar airways to delay a flight for more than 4 hours in the midnight from Doha to Dubai , the crew who was standing at the boarding was really Rude to a limit that i should report him here ; One old lady around 45 years old told him politely that i can’t go back to the entrance of the airport since i walked for more than 20 min to reach the gate ( E4 Doha airport which is literally very far) , he replied her that i cant hold you on my shoulders with a hand up in front of all the passengers … and after all of this delay , Qatar Airways tried to bribe the passengers with a meal !!! i cant Imagine that 5 star airways doing this .. i am really disappointed and will not recommend anyone to use it .",No,2,3,2,3,3
159,"October 31, 2015",10/10,Economy,GOOD SERVICE AND CONFORTABLE AIRCRAFT. DRINKS AND FOOD DURING ALL FLIGHT.,Yes,5,5,5,5,5
160,"October 21, 2015",2/10,Economy,Worst flight attendants I have ever witnessed. They were old and looked annoyed at all times. No smile on their faces. Especially those from homeland country.,No,2,2,1,4,4
161,"October 18, 2015",5/10,Economy,"
Front seat pockets were dirty and soaked with sticky liquid. One time my seat belt was sticky from chewing gum, and it was not properly wiped off. The gum stuck to my pants….!!!",Yes,4,4,2,3,3
162,"October 18, 2015",4/10,Economy,"
Monitor was not sensitive to touch, so you have to press very hard to get response, which was also delayed. And please remove games from the monitor. I had to ask people behind me to stop playing games while I was trying to get some rest. He pressed the monitor and shook my head every time  he pressed. Oh my…",No,3,3,2,2,2
163,"October 14, 2015",8/10,Economy,EDITORS COMMENT: Sunds like it wasn’t the best flight. it is annoying when people bash the screen behind your head I agree.,Yes,5,4,4,5,5
164,"October 8, 2015",10/10,Economy,"BEY-DOH-MCT; MCT-DOH-DXB, Honestly if they are an airlines trying to be a five stars airlines, they are failing on their tasks! Ground crew super rude and deliver rudeness out of the blue, both flights on time, flight crew, just ok, very indifferent, some seem to hate their job, airplane in good condition, I didn’t have luck with their video on demand, it used to freeze all the time, that was a hassle. Food was inedible, too much curry, too much fat, and they didn’t have alternatives, either this or vegetarian. All flights on time. I was disappointed with Qatar, maybe I had a lot of expectations, hopefully in the future I would have better experience with them.",Yes,5,4,5,4,4
165,"October 8, 2015",10/10,Economy,"I recently traveled on four long haul flights with Qatar Airways, and despite the fact I was both severely lacking sleep and rather hungover on each occasion. I found that each flight was was up there with some of the most pleasant flights I have had the pleasure to be on.",Yes,5,4,5,4,4
166,"September 26, 2015",10/10,Economy,"I usually fly Business and or First class but on this occasion I had decided to travel to Thailand at extremely short notice (roughly 3 hours), so therefore my business partner accidentally booked tickets in economy. Which is not usually my preference when taking a flight.",Yes,5,4,5,4,4
167,"September 19, 2015",1/10,Economy,"Yet I could not find fault with the level of service I received on each flight and in particular the flight QR0009 from Doha to London, was simply exceptional.",No,1,0,0,0,0
168,"September 8, 2015",1/10,Economy,"I cannot thank the cabin crew of Qatar Airways enough for making what could have easily been a set of nightmare journeys for myself. In the end, amazing.",No,3,1,4,0,0
169,"September 8, 2015",1/10,Premium Economy,"If you are considering booking with Qatar Airways and find yourself somewhat hesitant due to having read some of the bad reviews, I would ask you to consider the fact that when It comes to reviews of anything you can be almost certain that they tend to be completely polarised viewpoints.",No,1,3,3,3,3
170,"September 8, 2015",1/10,Economy,"Be carefull as transfers are not guarantee, small delays might cause the lost of you tranfer with relocation in bad conditions, I arrived with 24 delay to my destination. Very umpleasant experience.",No,1,4,4,4,4
171,"September 5, 2015",4/10,Economy,I would defintely not travel on Qatar Airways again. Sectors travelled were London-Doha-Dubai-Doha-London.,No,2,3,2,2,2
172,"August 28, 2015",6/10,Economy,"
Only 1 sector London-Doha was okay because the aircraft was A380 but in the rest of the sectors the aircrafts were either A320 or A330.Food, cabin service and entertainment not good at all.",No,4,4,4,4,4
173,"August 22, 2015",9/10,Economy,"
The cabin crew definitely need a better training as their inflight customer service is not up to the standards.",Yes,5,5,5,5,5
174,"August 11, 2015",1/10,Economy,"I had a flight from Melbourne to Doha then to Warsaw. From Doha we had a small plane full of people, only  two toilets on a board. Only one meal during the flight. Small, not comfortable seats. I was disappointed, tired and hungry.",No,1,1,1,2,2
175,"August 11, 2015",1/10,Economy,"Qatar airways is the absolute worst airlines to take when traveling from the middle east to the western countries. Personally, I have booked my tickets 5 months in advance. I made sure I signed up to receive all sorts of notifications due to the nature of my traveling experience (from U.S. —> Qatar —–> Dubai) and return flight ( Iran —-> Qatar —-> U.S.). My experience was horrendous. When traveling from Iran to Qatar, the flight was delayed for 45 minutes without any notice from the airlines. I did not even receive an email. We basically stayed idle for more than 45 minutes inside the plane with no explanation. With the stress of traveling, I was ready to get back to Utah. When we arrived in Miami, the flight was not on time… and the flight from Miami to Salt Lake left, the flight departed 20 MINUTES sooner than it was suppose to leave OR Qatar made an error on the time in my ticket. Still, no word from Qatar airways. I had to pay for my own hotel in Miami and wait till the next day. The following day, I caught a flight from Miami to Chicago in which there was another delay. Qatar airways NEEDS to improve their customer service!!! It was an unpleasant experience.",No,1,1,1,2,2
176,"July 26, 2015",2/10,Economy,April 2015: SIN-DOHA-ATHENS (B788-A333)/ATHENS-DOHA-SIN (A321-B788),No,4,3,2,3,3
177,"July 26, 2015",7/10,Business,"
The ONLY good point I have for this airlines is the new Dreamliners they used. Inside, the seats are cramped, reading lights not operating normally, IFE hangs, outdated and limited programs, touch screen control console inactive.  It’s definitely not 5-Stars as they called themselves. Despite seating 7th row at the front, we’re left with 1 choice of meal. Ask for more water, they pointed to the cup of water already in the meal tray! Coffee? You got to wait. Beyond meal time, it’s all self service, cos they are “busy” at the gallery!  Pre-take off /landing cabin prep not done properly. Transfer at Doha was bad, for economy passengers. Ultra long queues for the 7 or 8 screening machines, out of about 40 machines available! Toilet cubicles seriously in shortage even for men’s. Must be worst for Ladies!  Doha handles mostly transit passengers, but its not ready to tackle that volume. Dubai and Emirates is better. Fortunately, all my flights departed on time, with luggage. The World’s 5-Stars Airlines? Not yet.",Yes,4,3,4,4,4
178,"July 1, 2015",2/10,Economy,"After years of flying with BA and KLM in business class I heared I definitely had to try Qatar. Service on BA and KLM becomes more inferior and you don’t feel a valued travveler but on of the rest.  So July 17 we fly from Amsterdam to Bangkok via Doha with Qatar in Business class. First with the Dreamliner, followed by 380. The service was good and the seats were comfortable, just as flat bed is against, if you are tall your feet are touching each other in the point. The service of board has not impressed me, on both flights they forgot to bring one of the dishes, the presentation is reasonable. But overall, better than BA and KLM, but not overwhelming. I wonder how our return wil be on august 9. And one other thing, boarding in Amsterdam was the worst experience ever.",No,2,1,4,3,3
179,"June 23, 2015",1/10,Business,"I travelled on Qatar airways  from Johannesburg to Qatar on a Boeing 787. The seat was totally uncomfortable ,hence a miserable 8 hours on a plane.",No,1,5,1,5,5
180,"June 22, 2015",10/10,Economy,I took Qatar airways couple of weeks back for Mumbai – Doha – Athens – Mumbai and had a very pleasant experience. I traveled with Family (2 A and 1Child) and found the Airline was kids friendly. In fact Doha airport has lot of facilities to keep you and your kinds busy in case you have a longer connection.,Yes,5,5,5,5,5
181,"June 17, 2015",8/10,Business,We flew many times on business class. I rate it one of the best airlines in the world and would upgrade it to “best airline in the world” if they could improve the ergonomics of their “in flight entertainment systems and have a few more experienced stewardesses among their staff.,Yes,5,5,4,3,3
182,"June 17, 2015",5/10,Economy,"LHR – Doha onboard a 777 was very comfortable with good food and ok IFE system. However the economy class onboard their new 787 Dreamliners is cramp and uncomfortable. The inflight entertainment system is appalling, with a mind of its own. The food was ok but nothing special. They market themselves and seemingly win awards for being a 5 star airline. They’ve recently been announced as the best airline in the world. Clearly those voting haven’t travelled in economy onboard a 787 or attempted to use the useless inflight entertainment on their newer aircraft, including the A380.",No,3,2,4,0,0
183,"June 13, 2015",6/10,Business,"Perth – Doha – Manchester – Doha – Perth, Business class.",Yes,4,4,4,3,3
184,"May 5, 2015",1/10,Economy,"
Second time flying with Qatar from Perth to UK and return. Qatar use the Qantas lounge in Perth and its ok, but not a patch on the Emirates lounge.",No,3,2,3,4,4
185,"April 19, 2015",1/10,Economy,"Paid for a flight online for one of our children, checked-in online, no problem. Had to change the flight last minute, re-paying online, no problem.",No,2,2,3,2,2
186,"April 12, 2015",1/10,Business,"
Then, suddenly, 24h before new departure, received a threatening e-mail that if the traveller was not showing proof of payment (card), he would not be allowed on board.",No,1,4,1,0,0
187,"April 3, 2015",1/10,Economy,"
Contacted immediately customer support : no answer.",No,1,4,1,4,4
188,"April 1, 2015",10/10,Business,"
Why not the threat on the first booking ? Why only 24 hours before ? Where to go ?",Yes,5,4,5,0,0
189,"March 29, 2015",10/10,Economy,"
After years of using Qatar Airways, we gave up for too many inconveniences. Went back to it, attracted by the low fares. Alas…",Yes,5,5,5,5,5
190,"March 28, 2015",3/10,Economy,A330,No,2,2,5,2,2
191,"February 28, 2015",10/10,Economy,"
Flight from Doha to Berlin",Yes,5,5,5,0,0
192,"February 27, 2015",1/10,Economy,"
Seat 24 a",No,2,1,1,1,1
193,"February 17, 2015",1/10,Economy,"
Extremly restricted leg space.",No,1,0,1,0,0
194,"January 19, 2015",10/10,Business,"Istanbul Doha, Doha Perth vis a vis. Amazing service. On time. Friendly crew. Beautiful aircraft. can not get a better economy class….Hamad airport is spacious, new, not overcrowded (though may soon be as many more get on the Qatar /(airays) bandwagon..",Yes,5,5,5,5,5
195,"January 15, 2015",10/10,Premium Economy,Qatar airways is the best and I will fly another flight….I enjoy my trip and it was so interesting and wonderful one. I took the flight from Lagos Nigeria to Doha Hammad International Airport and commence my journey from Doha to Kuala Lumpur.,Yes,5,5,5,5,5
196,"January 15, 2015",10/10,Economy,"I flight from KUL to ISU, Inside cabin crew very friendly, all food and than when I flight from DOH to ISU, before landing, a supervisor of cabin crew say hello to me because I am a member of Qatar Airline, that’s a great Cabin Crew that I have been ever meet, God Bless to Qatar Airways.",Yes,5,5,5,4,4
197,"January 14, 2015",1/10,Economy,I recently bought a round trip from Stockholm-Islamabad with Qatar Airways  in Economy class.,No,1,3,1,4,4
198,"January 12, 2015",5/10,Economy,"
When it was time for the return journey my first flight segment (ISB-DOH)  was extremely delayed (Qatar Air’s strategy to handle fog conditions). As a I result I was emailed an updated itenary with 15+ hours layover in Doha.",No,4,4,2,2,2
