FAKEID,Y3defect,Y2G5,Y2G4,Y2G3,Y2G2,Y2G1,Y2price,YEARS,BACKER,AGE,INCOME,GNDR,OWNHOME,SPORT,PCTMARR,HOMEVAL
219J47VM,,0,1,0,1,1,15,7,1,63,3,0,0,0,67,68
348C81YD,,0,1,1,1,1,50,6,0,40,5,0,1,0,56,59
788R27QB,,1,0,1,0,0,15,3,1,32,3,1,1,0,62,74
312X92BG,,0,1,0,0,0,50,5,0,40,4,0,1,0,49,59
139H68EO,,0,1,0,1,0,25,4,1,63,4,0,1,0,60,108
489P79EX,,0,1,1,0,1,15,9,1,63,6,1,1,0,75,179
599J82KQ,,0,1,0,1,1,15,5,0,63,3,1,0,0,65,255
638Z54ZB,,1,1,0,1,1,25,7,0,63,4,0,1,0,66,50
567N77FQ,,0,1,0,0,1,25,9,1,86,4,1,1,0,57,58
423N09HP,,0,1,0,1,0,25,3,0,63,1,1,1,0,20,61
582I69IM,,1,0,1,0,1,25,10,1,63,3,0,1,0,70,292
935U16WY,,1,0,0,0,1,15,7,0,67,4,1,1,0,62,62
610L94FH,,0,0,1,1,1,15,4,0,33,1,0,1,2,48,84
767U72NO,,0,1,1,1,1,15,9,0,82,5,1,1,0,65,526
316S32CY,,0,1,0,1,1,15,6,1,59,5,0,1,0,55,92
259N28RU,,0,1,1,0,0,15,10,1,77,4,0,1,0,63,48
732J53PS,,0,0,1,1,1,25,6,0,38,3,1,1,0,52,102
248X13LQ,,0,1,0,0,0,25,6,0,67,3,0,0,0,68,79
840P06WQ,,0,1,1,0,1,15,6,0,48,3,1,1,0,47,269
733A19LQ,,0,1,1,0,1,25,5,0,50,3,0,1,0,71,75
181P68UM,,0,1,1,0,1,15,10,1,90,0,1,1,0,63,35
365D78ZK,,1,1,0,1,0,15,3,0,63,2,0,1,0,25,271
132V00JF,,0,0,1,0,0,25,3,0,84,0,1,1,0,57,79
070Y24WB,,0,0,1,1,1,25,3,0,46,5,1,1,0,65,62
181M79TI,,1,0,1,1,0,15,5,1,92,0,0,1,0,24,93
406S40SD,,0,0,0,1,0,15,1,0,40,3,0,1,0,68,77
596A52DT,,0,1,0,0,1,15,8,0,73,0,0,1,0,63,108
646W78VA,,0,1,0,1,0,15,3,1,63,3,0,0,0,58,107
637G83WS,,1,1,0,1,0,15,3,1,63,3,0,0,0,70,181
687U13IA,,0,0,1,0,1,15,4,1,63,3,0,0,0,29,88
017C52EJ,,0,0,1,1,0,25,10,1,91,1,0,1,1,69,126
056O20LC,,0,0,0,1,0,25,2,0,63,3,0,0,0,41,44
355B58DX,,0,1,1,1,0,25,4,0,42,2,0,1,0,64,47
881Y98UT,,0,1,0,0,0,15,10,1,74,1,1,1,0,53,72
330N91EZ,,0,0,0,1,0,15,5,0,81,0,0,1,0,68,108
047G46NT,,0,1,0,1,0,15,8,0,50,3,1,0,0,63,487
505C46HM,,0,1,1,1,0,50,11,1,63,3,1,0,0,68,58
355Z00IG,,0,1,0,0,1,25,7,0,74,1,1,1,0,69,89
419V75MX,,0,1,0,0,1,15,1,0,80,2,0,1,0,53,559
534X90RH,,0,1,0,1,1,25,5,0,75,5,1,1,0,66,112
894H35JB,,0,1,1,1,1,15,3,1,50,5,0,1,0,52,36
961D47ZK,,0,1,0,0,1,25,4,0,55,6,0,1,0,70,69
830G23TQ,,1,1,0,1,1,25,9,0,89,3,0,0,0,72,78
862A78HQ,,0,1,0,0,1,15,9,1,67,1,1,1,0,69,34
468U10RS,,1,1,1,1,0,15,9,1,76,1,0,1,0,31,55
171Z21OB,,0,0,1,1,0,15,9,1,72,1,1,1,0,58,89
925J48OT,,0,1,1,1,0,15,9,0,64,1,0,1,0,47,79
802Q71RZ,,0,0,1,0,1,25,5,1,60,3,0,0,0,57,121
206B07EE,,0,1,1,0,0,15,4,0,75,4,1,1,2,40,72
755R08ID,,0,1,0,0,0,25,6,0,63,3,0,0,0,19,320
843P84YX,,0,1,1,0,1,25,11,1,58,3,1,0,0,52,66
849Q61ZN,,0,0,0,0,1,15,8,1,63,3,1,1,0,67,90
717X38AI,,0,1,1,0,1,15,10,1,79,1,1,1,0,52,93
811C21SC,,0,1,1,0,0,15,8,0,91,1,0,1,0,63,43
390D70TM,,0,0,0,1,0,25,5,1,84,6,0,1,0,63,352
691X69VZ,,0,0,1,1,0,15,2,1,63,1,1,1,0,68,37
462S21DB,,1,1,1,1,1,15,4,1,89,4,1,1,0,52,125
196Y91BG,,0,0,1,1,1,15,5,1,63,3,1,0,0,70,45
991Z96SZ,,0,1,0,0,1,15,5,0,44,6,0,1,1,63,148
565W60ES,,0,0,0,1,0,15,9,1,63,2,1,1,0,65,74
579E85LY,,0,0,0,1,1,25,6,0,83,1,0,1,0,36,441
590M44QT,,0,1,1,0,1,15,8,0,63,3,0,0,0,34,471
810F92MM,,0,1,0,1,0,15,8,1,63,3,1,0,0,63,38
497A93PV,,0,1,1,0,0,25,6,1,63,3,1,0,0,72,232
677F57YZ,,0,1,0,1,0,25,6,0,85,2,0,1,0,55,77
320R41KU,,0,0,0,1,1,15,9,1,63,3,1,0,0,65,124
497I31WD,,0,1,0,0,0,25,11,1,63,3,0,0,0,67,55
085P10HQ,,0,0,1,0,0,15,9,1,94,0,0,0,0,58,53
609A48IK,,0,0,1,1,1,15,11,1,80,2,0,1,0,61,107
603B87LA,,0,1,0,1,0,15,11,1,43,3,0,0,0,0,0
575Q92DV,,0,1,1,0,1,15,11,1,60,2,1,1,0,64,60
153L44UP,,1,0,1,1,0,25,3,0,55,2,1,1,1,64,70
657K13EN,,0,1,1,0,1,15,4,0,37,6,0,1,0,23,0
859Z92UM,,0,1,0,0,1,15,9,1,87,2,1,1,0,64,218
081Z82KK,,0,1,0,1,1,15,4,1,63,6,0,1,0,67,86
862G45ZT,,0,1,0,1,0,15,3,0,63,3,0,0,0,42,154
590M45BD,,0,1,1,0,1,15,6,0,64,3,1,1,0,67,50
188M31JS,,0,0,0,1,0,15,2,0,47,6,0,1,0,34,405
227Q15BK,,0,1,1,0,0,25,9,1,81,3,0,1,0,83,119
012Y89LW,,0,0,0,0,1,50,6,0,75,2,1,1,0,59,72
994C06WS,,0,1,0,0,1,15,9,1,63,0,1,1,0,70,41
583O52XJ,,0,1,1,1,1,25,8,0,68,4,0,1,0,41,121
355J32FO,,0,0,0,1,0,25,8,1,52,5,1,1,0,66,160
570X01MD,,1,0,1,1,0,50,5,0,64,6,0,1,1,58,128
315O88DU,,1,1,0,1,0,15,7,1,59,3,0,1,0,66,86
746C78TS,,0,1,1,0,0,15,5,0,29,4,0,1,0,71,77
182R81QA,,0,1,0,1,0,25,1,0,63,3,0,1,1,62,57
270W53AM,,1,0,0,0,1,25,11,1,86,0,0,1,0,38,45
194S08MH,,0,1,0,0,1,25,10,0,55,3,1,1,0,75,105
109G20JV,,0,1,0,1,0,15,10,1,90,6,1,1,0,62,196
474K41RI,,0,1,1,0,0,50,5,0,63,3,0,0,0,57,200
273J53KV,,0,1,1,0,0,15,10,1,65,2,1,1,0,56,44
978D36DT,,0,1,1,1,0,15,10,1,76,2,1,1,0,70,56
318W07YU,,0,0,0,1,1,15,10,1,63,3,0,1,0,67,105
031D77NR,,0,1,0,0,0,15,7,0,58,5,1,1,0,63,489
179D15RG,,0,1,1,0,1,15,6,1,77,3,1,0,0,59,48
831T59GL,,0,1,0,0,1,15,1,0,63,5,1,1,0,67,157
578Y47TE,,0,1,1,1,1,15,5,1,57,4,1,1,0,54,69
883O74XN,,1,0,1,1,0,15,1,1,42,4,1,1,0,68,70
928J60NZ,,0,1,0,0,1,50,10,1,53,4,0,1,0,63,112
396O27VZ,,0,0,0,0,1,15,7,1,87,0,0,1,0,64,48
524A53OW,,0,1,0,1,1,25,4,0,56,4,0,1,0,26,45
697Q50LT,,0,0,0,0,1,25,1,0,72,4,0,1,1,68,262
425C77LG,,0,0,0,0,1,25,4,0,55,0,0,1,0,56,53
703R91ZQ,,0,1,0,1,1,25,9,0,46,3,0,0,0,53,190
535T82UY,,0,0,0,1,0,25,1,0,63,3,0,0,0,44,89
636V12PV,,0,0,0,1,0,25,1,0,63,3,0,0,0,59,247
463Z51RS,,0,1,1,1,0,50,3,0,63,3,1,1,0,70,55
697G55PI,,0,1,1,1,1,15,7,1,50,5,0,1,0,70,120
452L75GC,,0,1,1,1,1,15,6,1,79,1,0,0,0,53,168
471O16CI,,0,1,0,1,0,15,1,0,63,3,1,0,0,61,80
660B85ZV,,0,1,0,0,1,15,7,1,79,4,1,1,0,72,448
621D69FK,,0,0,0,1,0,15,1,0,63,5,0,1,0,69,151
791D84NA,,1,1,0,0,0,25,9,1,64,5,1,1,0,73,111
022N22MI,,0,0,0,1,1,15,9,1,63,3,1,0,0,60,58
828S05ZY,,0,1,0,0,0,15,4,0,33,5,1,1,1,64,73
987C80SY,,0,1,1,1,0,50,6,0,63,3,1,0,0,53,45
996Y56BE,,0,1,0,0,0,25,1,0,63,4,0,1,0,44,76
303X26DV,,0,1,0,1,0,15,9,1,63,3,0,0,0,39,65
501W16AI,,0,0,1,1,0,15,3,0,90,1,0,1,0,16,83
251G61DC,,0,0,0,0,1,15,4,0,63,1,0,1,0,58,60
641D20GX,,1,0,0,0,1,15,5,0,38,4,0,1,0,75,36
416D98TW,,0,0,1,1,0,15,1,1,52,3,0,1,0,50,122
007C83AA,,0,0,1,1,0,15,2,0,42,2,0,1,0,42,96
859T13GJ,,1,0,1,1,1,15,6,0,63,3,1,0,0,46,232
863H96YC,,0,1,0,0,1,15,4,0,36,1,1,1,0,31,306
238H10YF,,0,0,1,1,1,15,9,1,86,1,1,1,0,37,116
631E87KD,,0,0,1,0,1,15,6,1,86,0,1,1,0,60,67
807F50OT,,0,1,0,1,0,15,7,1,63,3,0,0,0,65,52
172A48ZM,,0,0,0,1,1,50,10,1,60,4,0,1,0,70,426
503G79KU,,0,0,1,1,0,15,11,1,79,0,0,1,0,57,32
144T39XU,,0,0,0,1,1,25,3,0,63,3,1,0,0,24,54
816G09HF,,0,1,1,1,0,25,6,1,68,1,1,1,0,48,73
507J37CM,,0,0,0,0,1,15,4,0,52,3,1,0,0,39,84
688M32AS,,0,0,0,0,1,25,6,0,46,1,1,1,0,53,36
919H87GW,,0,1,1,1,1,15,3,0,40,2,1,1,0,68,69
771S67LM,,0,0,0,1,0,25,4,0,26,4,0,1,0,64,37
596T25RL,,0,0,0,0,1,15,6,1,84,4,0,1,1,48,212
390E77KG,,0,0,1,1,0,15,1,0,60,6,0,1,0,47,267
389R86MM,,0,0,1,1,1,15,11,1,71,1,0,1,0,56,45
618X24YF,,0,1,1,0,0,15,11,1,49,4,1,1,0,72,116
432L55QH,,0,0,0,1,0,15,2,0,42,6,0,1,0,69,71
149D50ZT,,0,0,1,1,0,15,2,0,63,3,1,0,0,60,83
895A11DX,,0,1,0,1,1,15,4,0,78,3,1,1,0,56,274
740I02TT,,0,1,0,1,0,15,1,1,76,0,1,1,0,60,53
701O48OB,,0,1,0,0,1,15,4,0,60,2,0,1,0,68,45
060X82OT,,1,1,0,0,1,15,4,1,65,4,1,1,0,48,33
689U86QX,,0,0,0,1,0,15,2,0,30,4,0,1,0,68,68
404U18PU,,0,0,0,0,1,15,1,0,63,3,1,0,0,65,101
347G31KL,,0,1,1,0,1,15,11,1,48,4,0,1,0,55,155
065V78BG,,0,1,1,0,1,15,11,1,51,3,0,1,0,69,88
059I24QC,,0,0,1,0,1,25,4,0,45,3,0,1,0,66,93
496F67DS,,0,1,0,0,0,15,3,0,54,3,0,1,0,66,67
738M76YT,,0,1,1,1,0,15,9,0,72,4,0,1,0,63,78
020C24KV,,0,1,0,0,0,25,1,1,75,2,0,1,1,59,34
439P48MI,,0,1,1,0,1,15,8,1,64,4,0,1,0,65,60
941A44XR,,0,1,1,0,1,50,11,1,51,3,1,0,0,64,95
751L57FZ,,0,0,0,1,1,15,9,0,70,4,0,1,0,64,71
137N99DY,,0,1,0,0,0,25,9,1,54,4,0,1,0,59,102
315D99GH,,1,1,1,0,1,15,7,0,49,3,1,0,0,56,51
573M12DH,,0,1,0,0,1,50,7,0,64,3,0,1,0,43,271
897H69UK,,1,0,0,1,0,25,3,0,60,4,1,1,0,71,152
882Z91XU,,0,0,0,1,0,25,2,0,63,3,0,0,0,69,133
442P19GB,,0,1,1,0,0,25,6,0,74,4,1,1,0,58,46
002H25JM,,0,1,0,0,0,15,6,0,63,3,0,0,0,61,65
108K31OG,,0,1,0,1,1,25,6,1,72,0,0,1,0,57,101
703V99SI,,0,1,0,1,1,25,9,1,61,3,1,0,0,65,49
790E16YY,,0,1,0,1,1,25,11,1,84,0,0,1,0,56,68
694R91XR,,0,1,0,1,1,25,11,1,78,1,0,1,0,40,45
708O67AM,,0,0,0,0,1,15,4,0,58,3,1,1,0,62,67
095Q43QO,,0,1,0,0,1,15,11,1,78,1,0,1,0,53,83
554D76LW,,0,1,0,0,0,15,9,1,50,6,1,1,0,69,127
687S15FE,,0,1,0,0,1,15,5,0,61,4,0,1,0,74,111
207H98ZT,,0,1,0,0,0,15,3,0,58,0,0,1,0,33,178
429W36SE,,0,0,0,1,1,50,8,0,63,3,0,0,0,62,322
415N17VU,,0,0,1,0,0,15,11,1,56,3,0,0,0,36,55
793C08CP,,0,1,0,0,0,15,3,0,63,3,0,0,0,71,135
417G37AZ,,0,1,0,0,1,15,1,0,49,3,0,1,0,57,71
109S61OF,,0,0,1,1,0,15,1,1,63,1,0,1,0,65,46
634R96VR,,0,1,0,0,1,15,1,0,63,3,0,0,0,49,57
799B54PH,,1,1,0,1,1,50,5,0,63,3,0,0,0,67,237
156B83KL,,0,1,0,0,0,15,3,0,72,4,1,1,0,74,103
258G53YA,,1,1,0,0,0,50,7,0,65,6,1,1,0,64,153
455F10KM,,0,1,1,1,1,15,9,1,33,2,0,1,0,62,115
243D84BS,,0,1,1,0,1,25,9,0,63,3,0,0,0,52,85
629B75TU,,1,1,0,0,1,15,9,1,63,0,1,1,0,71,69
531P01QC,,0,0,1,0,1,15,3,0,53,5,0,1,0,66,87
608N90GU,,1,1,1,1,1,15,4,1,63,0,0,1,0,70,60
296C94MK,,1,1,0,1,1,15,5,0,63,1,1,1,0,65,21
749R45VD,,0,0,0,0,1,15,10,1,89,3,0,0,0,50,57
655E55HY,,0,1,1,1,1,25,8,0,63,3,0,0,0,41,161
836M60ND,,0,1,0,0,0,15,10,1,73,3,0,0,0,51,46
176F03YO,,0,0,1,1,0,25,2,0,63,4,1,1,0,51,101
144Z74FF,,0,1,0,1,0,15,7,1,63,1,0,1,0,68,94
543L18QD,,1,1,0,1,1,15,3,1,50,1,0,1,0,55,47
626J56KP,,1,0,0,0,0,25,11,1,63,6,0,1,0,69,74
831K95PY,,1,0,0,1,1,50,7,1,78,3,0,1,0,33,25
182M77WJ,,1,1,1,1,0,50,5,0,62,0,0,1,0,62,113
261O51KG,,0,1,0,1,0,15,3,0,63,3,0,0,0,47,124
427O45EG,,0,0,0,1,1,50,11,1,64,2,1,1,0,65,60
107P65UW,,0,0,0,1,0,25,9,0,63,3,1,0,0,70,99
773D42AF,,0,0,1,0,0,15,7,1,89,3,1,0,0,58,179
701C15XS,,1,0,0,0,1,25,3,0,40,4,0,1,0,77,96
243F13AF,,0,0,0,1,1,15,9,1,63,3,0,0,0,72,107
147S05YQ,,0,1,1,0,0,15,4,1,54,3,1,0,0,78,38
815W38TE,,0,1,0,1,0,15,7,1,89,0,0,1,0,37,53
615E19GV,,0,0,1,1,0,15,1,1,46,5,1,1,0,68,91
737J72SO,,1,0,1,1,1,15,9,1,65,1,0,1,0,61,57
872N20VW,,0,1,0,1,0,15,8,1,65,3,0,1,0,63,62
656C94HJ,,0,1,0,1,0,15,4,0,48,1,0,1,0,34,39
836F33MP,,1,1,1,0,1,15,6,1,71,3,0,1,0,43,121
964P75SP,,0,0,0,0,1,25,1,0,63,4,1,1,0,61,488
518J84GD,,0,1,1,1,0,15,4,0,72,0,1,1,0,39,47
247W45KD,,1,0,0,0,1,15,7,1,56,3,0,0,0,62,91
461H75YZ,,1,1,0,1,0,15,6,0,51,3,0,0,0,75,104
717H75GO,,1,0,0,1,1,15,10,1,71,3,0,1,0,55,69
086J79LN,,0,1,0,0,1,25,8,0,43,3,1,1,0,57,43
235A07UP,,0,1,1,0,0,15,4,0,47,6,0,1,0,72,193
138V57RW,,0,1,1,0,0,15,9,1,47,4,1,1,0,60,57
404O98IL,,0,0,0,1,0,25,10,1,63,3,0,0,0,63,99
692B04BX,,0,0,1,0,0,25,6,0,66,0,0,1,0,28,39
632R60MN,,0,1,1,0,0,15,5,1,63,3,1,0,0,70,131
661K09ZK,,0,1,0,1,1,25,10,0,83,4,0,1,0,61,100
975V63XW,,0,0,1,0,1,25,7,0,38,4,0,1,0,60,47
050I49IA,,0,1,0,1,0,15,4,0,55,6,0,1,0,77,189
422G26MH,,0,0,0,1,0,15,1,1,63,4,0,1,0,55,20
387Y78XQ,,0,0,0,1,1,15,6,0,54,1,0,1,0,62,33
429P96SU,,0,0,1,1,0,15,2,1,71,0,0,1,0,54,49
922C41HP,,0,1,0,1,0,25,5,0,63,3,0,0,0,69,109
483L57MQ,,0,1,0,0,1,25,7,0,63,3,1,0,0,65,219
573H20WY,,0,1,0,0,1,15,6,1,54,5,1,1,0,66,100
756U98MT,,1,1,1,1,1,15,3,1,85,0,1,1,0,63,168
686O05RC,,1,1,1,1,1,15,3,1,24,3,0,1,0,53,63
281W42TE,,1,1,1,0,1,50,9,1,52,6,1,1,0,48,329
015R43JY,,0,1,1,0,0,25,4,0,63,3,0,0,0,52,179
824K03JM,,0,1,1,1,1,15,3,0,53,6,1,1,0,55,62
966O16KF,,0,0,1,0,1,15,11,1,75,3,1,0,0,62,77
246V99UQ,,1,0,1,1,0,15,5,1,56,5,0,1,0,53,50
731K85LK,,0,0,1,0,0,25,1,0,63,3,0,0,0,55,56
986F62GM,,0,1,0,1,0,15,9,1,63,3,0,0,0,77,113
672K71FK,,0,1,1,1,0,15,3,1,78,1,0,1,0,50,51
888O60FA,,0,1,1,0,0,15,3,0,64,5,1,1,0,57,190
136U41VF,,0,0,1,1,1,25,9,0,85,2,0,1,0,65,107
785T97PC,,0,1,0,1,1,15,6,0,43,3,0,0,0,64,64
478K70YJ,,0,1,1,1,0,15,3,0,63,3,0,0,0,43,251
824Q82DM,,1,1,0,1,0,15,3,1,80,0,0,1,0,63,84
186L02DV,,0,1,1,0,0,25,9,1,41,4,0,1,0,57,54
845N35VY,,0,1,1,0,1,15,5,1,78,0,0,1,0,68,112
899I07MQ,,1,1,0,1,1,50,4,0,40,4,0,1,0,51,478
090W22HJ,,0,0,1,1,0,15,1,1,63,5,0,1,0,72,153
729Y77TR,,0,1,0,0,1,15,5,1,81,3,1,1,0,64,120
894N33KT,,0,0,0,1,0,25,2,0,38,5,0,1,0,65,121
736K32ZJ,,0,1,1,1,0,15,11,1,63,1,0,1,0,72,103
914B40TU,,0,1,1,1,0,25,7,0,53,3,1,1,0,53,45
955K79RL,,0,1,1,0,1,15,11,1,75,1,0,1,0,66,50
048S70WH,,0,1,1,1,1,25,11,0,63,3,1,0,0,55,117
852N12XH,,0,1,1,1,1,15,5,1,38,5,1,1,0,76,243
122C75VY,,0,1,0,1,1,15,10,0,80,0,0,1,0,63,68
466U88PQ,,0,1,1,0,1,15,9,0,66,4,1,1,0,75,133
965B89BD,,0,0,0,1,0,25,1,0,58,2,0,1,0,58,53
079O98MK,,0,0,0,0,1,15,6,1,80,1,1,0,0,40,46
828C66AX,,1,0,1,1,1,15,9,1,48,4,1,1,0,64,229
744F46VG,,1,1,0,1,1,15,3,0,63,3,0,0,0,38,160
462K78FA,,0,1,0,0,0,25,3,0,70,3,1,1,0,0,9
324I43UU,,0,1,0,1,1,15,6,1,63,3,0,0,0,69,92
738K47VN,,0,0,0,1,0,50,4,1,61,1,0,1,0,57,74
961R39TS,,0,1,1,0,1,25,4,0,60,5,1,1,0,57,101
178N50CF,,0,1,1,1,1,50,8,0,63,3,1,0,0,49,214
105M18GR,,0,0,1,0,0,25,5,0,71,3,1,0,0,61,39
645X37LC,,0,1,1,0,0,15,3,0,63,3,0,0,0,57,145
486C25FE,,0,0,0,1,1,15,5,1,55,3,1,1,0,64,130
792V54RC,,1,0,1,1,0,15,5,1,38,6,0,1,0,67,131
684P94EU,,0,0,0,1,1,50,4,0,63,3,0,0,0,57,80
468T57SV,,0,1,0,1,1,15,3,1,73,2,0,1,0,67,76
502F67RV,,0,0,0,1,1,50,9,1,78,1,1,1,0,56,41
620B00IY,,0,1,1,0,1,15,7,1,66,2,1,1,0,67,56
644R41SY,,0,1,0,1,1,15,4,0,75,1,1,1,0,72,63
999N92MS,,0,1,1,1,1,15,5,1,63,0,0,1,0,63,43
729G85FX,,0,0,1,1,0,15,9,1,85,0,1,1,0,39,238
823K43LF,,0,1,0,0,0,25,6,0,52,4,0,1,0,65,101
277B29OK,,0,0,1,1,0,25,1,0,35,0,0,1,0,61,297
936E89JU,,0,1,1,1,1,15,1,0,46,0,0,1,0,48,61
479K42PX,,0,1,1,0,0,50,4,0,79,2,1,1,0,72,291
593C52VD,,1,1,1,1,1,25,5,0,71,1,0,1,0,61,50
313T02MS,,0,0,1,1,1,15,5,0,44,3,0,1,0,64,67
036L31TK,,0,0,1,1,1,25,5,1,52,1,0,1,0,68,62
195D45XU,,0,0,1,1,0,15,2,1,63,4,0,1,0,52,77
850A03FP,,0,0,1,0,0,15,1,0,63,3,0,0,0,73,50
211R46YL,,0,0,1,1,0,15,2,0,63,3,0,0,0,61,243
879V32BP,,0,1,0,0,0,15,3,0,63,3,0,0,0,53,180
716S45XD,,0,0,1,1,1,15,10,1,49,3,0,1,0,49,58
194S71QH,,0,0,1,1,0,50,7,0,71,2,1,1,0,65,57
242B94IR,,0,1,1,0,0,15,6,1,44,4,1,1,0,61,309
820K72FZ,,0,1,1,0,0,15,1,0,76,0,0,1,0,53,196
049A78RA,,0,0,1,1,0,15,4,0,54,3,0,1,0,68,53
183W99DB,,0,0,1,1,0,15,6,0,63,3,1,1,0,69,78
428I40KL,,0,0,0,1,1,25,5,1,46,2,1,1,0,75,67
871B30AB,,0,0,1,0,0,15,7,0,86,0,1,1,0,51,82
514T96SG,,0,0,0,1,1,15,4,1,63,6,0,1,0,68,147
274V58WX,,1,1,0,0,1,15,9,1,74,4,1,1,0,63,85
448F00LG,,0,0,0,1,0,15,9,1,63,5,1,1,0,68,170
963R03TO,,0,1,0,1,0,15,3,0,74,2,0,1,0,56,92
659Q29EM,,0,0,1,0,0,25,4,0,73,3,0,0,0,71,70
517V19EL,,0,1,0,0,0,15,9,1,63,3,1,0,0,70,386
519E64OF,,0,1,1,0,0,15,5,1,67,2,1,1,0,51,231
340S53VB,,0,0,1,1,1,15,7,1,41,5,1,1,0,47,249
927Q90QK,,0,0,0,1,0,15,2,1,73,2,1,1,0,76,117
944O13CN,,0,1,0,1,1,15,6,0,72,2,1,1,0,24,35
319G33PH,,0,1,1,1,1,15,3,1,52,0,1,1,0,66,67
807C00ZI,,0,1,0,0,0,15,8,0,79,4,1,1,0,59,178
585P56CP,,1,0,0,1,1,15,8,1,63,3,0,0,0,38,134
951U11DW,,0,1,1,1,0,15,11,1,75,1,0,1,0,66,34
503I15AI,,0,0,0,1,0,15,2,0,50,4,0,1,0,24,414
124M79XL,,0,1,0,1,0,25,5,0,46,3,0,1,0,55,70
730X93DY,,0,1,1,0,0,50,8,1,65,0,0,1,0,58,36
904G67HP,,0,1,1,1,0,15,11,1,36,4,0,1,0,53,44
826L59NV,,0,1,0,0,0,15,9,1,68,2,1,1,0,67,85
652S14WI,,1,1,1,1,1,25,10,1,77,1,0,1,0,67,75
509G33GA,,0,1,0,0,1,25,3,0,53,6,1,1,0,73,200
417G93UX,,0,0,0,0,1,25,10,0,58,5,0,1,0,66,77
163F27IV,,0,1,0,0,0,25,5,1,83,4,1,1,0,80,270
235O07MA,,1,1,0,0,1,50,11,1,80,0,1,1,0,63,129
051K96FK,,0,1,0,0,0,15,4,0,66,1,0,1,0,58,61
045H35GZ,,0,0,0,0,1,15,4,1,39,2,0,1,0,61,75
564E29GO,,0,1,0,0,0,25,10,0,77,2,0,1,0,72,53
185H88XX,,0,1,0,1,1,15,4,1,86,1,1,1,0,53,33
212B48HE,,0,0,0,0,1,25,11,0,63,3,0,0,0,43,43
590V88WR,,0,0,0,1,1,15,9,1,63,1,1,1,0,68,67
296E56YS,,0,0,0,1,0,15,1,0,64,4,1,1,0,65,99
926B92LO,,0,0,0,0,1,25,1,1,66,2,0,1,0,52,32
746V63JZ,,0,0,1,1,0,25,1,1,52,4,1,1,0,64,49
440J63HE,,0,1,0,1,1,15,7,1,63,3,0,0,0,35,91
520E67XV,,0,1,0,0,0,25,4,0,87,4,1,0,0,64,65
833B85WC,,1,1,1,1,1,25,6,0,72,1,1,1,0,51,87
643J84HH,,0,1,0,1,0,50,8,1,70,4,0,1,1,54,73
539M92HA,,0,1,0,0,1,15,11,1,69,1,0,1,0,55,65
884Z27TM,,0,1,0,0,1,25,4,0,32,2,0,1,0,54,251
455Q14EC,,1,1,1,1,1,15,10,1,61,4,0,1,0,63,78
998K32WV,,0,1,0,1,0,15,11,1,90,5,0,1,0,60,266
589U72RR,,0,1,0,1,1,25,7,1,77,0,1,1,0,65,57
686S40AO,,0,1,0,1,1,25,8,0,64,4,0,1,0,54,95
794E57TQ,,0,1,1,1,0,15,11,1,68,3,1,1,0,35,99
046Y88UO,,0,0,0,1,1,25,7,1,92,1,0,1,0,66,50
128F42UP,,0,0,1,0,1,25,6,0,46,5,0,1,0,41,43
228D66BO,,0,1,0,1,1,15,1,1,63,4,0,1,0,43,64
703W83XU,,0,1,1,0,1,25,9,1,51,3,0,0,0,67,58
407S97AL,,0,0,0,0,1,15,1,1,87,0,0,1,0,44,57
759I25WD,,0,1,1,1,1,15,11,1,78,1,1,0,0,70,82
402G41JR,,0,0,0,0,1,15,11,1,84,0,0,1,0,47,116
108W74NZ,,1,1,0,0,1,15,5,1,47,0,0,1,0,24,114
048U01TM,,0,0,1,1,1,25,3,0,40,4,1,1,0,61,49
017Y83NR,,0,1,1,0,1,50,8,0,78,3,0,1,0,67,60
118U10ON,,0,0,1,1,0,15,2,0,63,3,1,1,0,55,42
073C58FD,,0,1,0,0,1,15,4,0,63,3,0,0,0,67,54
159S63CR,,0,0,0,1,1,25,11,1,53,5,0,1,0,37,75
539W81GW,,0,0,0,0,1,15,5,0,38,1,0,1,0,52,64
782S91OK,,0,0,1,0,1,15,6,0,59,3,0,1,0,50,221
472T26NE,,0,0,1,0,1,15,6,0,83,3,1,0,0,61,73
869C67LD,,0,1,0,0,0,15,11,1,58,4,0,1,0,68,119
012S50QX,,0,0,1,1,0,15,2,0,63,3,0,0,0,49,85
981F57IO,,0,1,0,0,1,15,8,0,70,3,1,1,0,69,294
188G25DZ,,0,1,0,0,0,15,3,0,67,2,0,1,0,55,35
811S98RI,,0,1,1,1,1,15,6,1,47,2,1,1,0,55,51
518M87TI,,1,0,0,0,1,25,4,0,50,4,1,1,0,61,71
722O05NL,,0,1,1,1,1,15,11,1,75,2,1,1,0,58,41
935D24PA,,0,0,1,0,1,25,3,0,63,3,1,0,0,44,0
894V64UU,,0,1,0,1,0,15,3,0,38,5,0,1,0,70,56
696U85VW,,0,0,1,1,0,15,2,1,42,6,1,1,1,71,160
694R53UL,,0,0,0,1,1,15,6,0,63,3,0,0,0,66,76
238L21QP,,0,1,0,1,0,15,7,1,38,3,0,0,0,68,53
874B98TS,,0,1,1,0,0,15,10,0,70,3,0,1,0,58,72
587M93CH,,0,1,0,0,1,15,4,0,63,3,0,0,0,67,70
638O77XX,,0,1,1,1,1,25,6,1,22,3,1,0,0,66,77
